director,popularity,stars,title,writers,year
Richard Linklater,,"Ethan Hawke,Julie Delpy,Andrea Eckert,See full cast & crew","Before Sunrise ,            ","Richard Linklater,Kim Krizan",1995
James Mangold,,"Matt Damon,Christian Bale,Jon Bernthal,See full cast & crew","Ford v Ferrari ,            ","Jez Butterworth,John-Henry Butterworth,1 more credit",2019
Ernst Lubitsch,,"Carole Lombard,Jack Benny,Robert Stack,See full cast & crew","To Be or Not to Be ,            ","Melchior Lengyel,Edwin Justus Mayer",1942
Ingmar Bergman,,"Bibi Andersson,Liv Ullmann,Margaretha Krook,See full cast & crew","Persona ,            ",Ingmar Bergman,1966
Mel Gibson,,"Andrew Garfield,Sam Worthington,Luke Bracey,See full cast & crew","Hacksaw Ridge ,            ","Robert Schenkkan,Andrew Knight",2016
Wes Anderson,,"Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,See full cast & crew","The Grand Budapest Hotel ,            ","Stefan Zweig,Wes Anderson,2 more credits",2014
David Fincher,,"Ben Affleck,Rosamund Pike,Neil Patrick Harris,See full cast & crew","Gone Girl ,            ","Gillian Flynn,Gillian Flynn",2014
Yavuz Turgul,,"Sener Sen,Ugur Yücel,Sermin Hürmeriç,See full cast & crew","The Bandit ,            ",Yavuz Turgul,1996
Jim Sheridan,,"Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie,See full cast & crew","In the Name of the Father ,            ","Gerry Conlon,Terry George,1 more credit",1993
"Joel Coen,Ethan Coen",,"Jeff Bridges,John Goodman,Julianne Moore,See full cast & crew","The Big Lebowski ,            ","Ethan Coen,Joel Coen",1998
Sriram Raghavan,,"Ayushmann Khurrana,Tabu,Radhika Apte,See full cast & crew","Andhadhun ,            ","Arijit Biswas,Yogesh Chandekar,4 more credits",2018
Adam Elliot,,"Toni Collette,Philip Seymour Hoffman,Eric Bana,See full cast & crew","Mary and Max ,            ",Adam Elliot,2009
"Sergio Pablos,Carlos Martínez López",,"Jason Schwartzman,J.K. Simmons,Rashida Jones,See full cast & crew","Klaus ,            ","Sergio Pablos,Sergio Pablos,2 more credits",2019
Damián Szifron,,"Darío Grandinetti,María Marull,Mónica Villa,See full cast & crew","Wild Tales ,            ","Germán Servidio,Damián Szifron",2014
Michael Cimino,,"Robert De Niro,Christopher Walken,John Cazale,See full cast & crew","The Deer Hunter ,            ","Michael Cimino,Deric Washburn,3 more credits",1978
Bong Joon Ho,,"Kang-ho Song,Sang-kyung Kim,Roe-ha Kim,See full cast & crew","Memories of Murder ,            ","Bong Joon Ho,Kwang-rim Kim,1 more credit",2003
Yasujirô Ozu,,"Chishû Ryû,Chieko Higashiyama,Sô Yamamura,See full cast & crew","Tokyo Story ,            ","Kôgo Noda,Yasujirô Ozu",1953
Clint Eastwood,,"Clint Eastwood,Bee Vang,Christopher Carley,See full cast & crew","Gran Torino ,            ","Nick Schenk,Dave Johannson,1 more credit",2008
"Joel Coen,Ethan Coen",,"William H. Macy,Frances McDormand,Steve Buscemi,See full cast & crew","Fargo ,            ","Ethan Coen,Joel Coen",1996
Peter Weir,,"Jim Carrey,Ed Harris,Laura Linney,See full cast & crew","The Truman Show ,            ",Andrew Niccol,1998
Quentin Tarantino,,"Uma Thurman,David Carradine,Daryl Hannah,See full cast & crew","Kill Bill: Vol. 1 ,            ","Quentin Tarantino,Quentin Tarantino,1 more credit",2003
Elia Kazan,,"Marlon Brando,Karl Malden,Lee J. Cobb,See full cast & crew","On the Waterfront ,            ","Budd Schulberg,Budd Schulberg,1 more credit",1954
Carol Reed,,"Orson Welles,Joseph Cotten,Alida Valli,See full cast & crew","The Third Man ,            ","Graham Greene,Graham Greene",1949
Andrei Tarkovsky,,"Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn,See full cast & crew","Stalker ,            ","Arkadiy Strugatskiy,Boris Strugatskiy,2 more credits",1979
David Lean,,"William Holden,Alec Guinness,Jack Hawkins,See full cast & crew","The Bridge on the River Kwai ,            ","Pierre Boulle,Carl Foreman,1 more credit",1957
"Andrew Stanton,Lee Unkrich",,"Albert Brooks,Ellen DeGeneres,Alexander Gould,See full cast & crew","Finding Nemo ,            ","Andrew Stanton,Andrew Stanton,2 more credits",2003
Ridley Scott,,"Harrison Ford,Rutger Hauer,Sean Young,See full cast & crew","Blade Runner ,            ","Hampton Fancher,David Webb Peoples,1 more credit",1982
Ingmar Bergman,,"Victor Sjöström,Bibi Andersson,Ingrid Thulin,See full cast & crew","Wild Strawberries ,            ",Ingmar Bergman,1957
Lenny Abrahamson,,"Brie Larson,Jacob Tremblay,Sean Bridgers,See full cast & crew","Room ,            ","Emma Donoghue,Emma Donoghue",2015
"Victor Fleming,George Cukor,1 more credit",,"Clark Gable,Vivien Leigh,Thomas Mitchell,See full cast & crew","Gone with the Wind ,            ","Margaret Mitchell,Sidney Howard",1939
John Carpenter,,"Kurt Russell,Wilford Brimley,Keith David,See full cast & crew","The Thing ,            ","Bill Lancaster,John W. Campbell Jr.",1982
David Lynch,,"Anthony Hopkins,John Hurt,Anne Bancroft,See full cast & crew","The Elephant Man ,            ","Christopher De Vore,Eric Bergren,3 more credits",1980
Gavin O'Connor,,"Tom Hardy,Nick Nolte,Joel Edgerton,See full cast & crew","Warrior ,            ","Gavin O'Connor,Anthony Tambakis,3 more credits",2011
Steven Spielberg,,"Sam Neill,Laura Dern,Jeff Goldblum,See full cast & crew","Jurassic Park ,            ","Michael Crichton,Michael Crichton,1 more credit",1993
M. Night Shyamalan,,"Bruce Willis,Haley Joel Osment,Toni Collette,See full cast & crew","The Sixth Sense ,            ",M. Night Shyamalan,1999
Danny Boyle,,"Ewan McGregor,Ewen Bremner,Jonny Lee Miller,See full cast & crew","Trainspotting ,            ","Irvine Welsh,John Hodge",1996
Martin Scorsese,,"Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,See full cast & crew","Shutter Island ,            ","Laeta Kalogridis,Dennis Lehane",2010
James McTeigue,,"Hugo Weaving,Natalie Portman,Rupert Graves,See full cast & crew","V for Vendetta ,            ","Lilly Wachowski,Lana Wachowski,1 more credit",2005
"Ethan Coen,Joel Coen",,"Tommy Lee Jones,Javier Bardem,Josh Brolin,See full cast & crew","No Country for Old Men ,            ","Joel Coen,Ethan Coen,1 more credit",2007
"Pete Docter,Ronnie Del Carmen",,"Amy Poehler,Bill Hader,Lewis Black,See full cast & crew","Inside Out ,            ","Pete Docter,Ronnie Del Carmen,7 more credits",2015
Roman Polanski,,"Jack Nicholson,Faye Dunaway,John Huston,See full cast & crew","Chinatown ,            ",Robert Towne,1974
Ingmar Bergman,,"Max von Sydow,Gunnar Björnstrand,Bengt Ekerot,See full cast & crew","The Seventh Seal ,            ","Ingmar Bergman,Ingmar Bergman",1957
Charles Chaplin,,"Charles Chaplin,Mack Swain,Tom Murray,See full cast & crew","The Gold Rush ,            ",Charles Chaplin,1925
Alfred Hitchcock,,"Ray Milland,Grace Kelly,Robert Cummings,See full cast & crew","Dial M for Murder ,            ","Frederick Knott,Frederick Knott",1954
Çagan Irmak,,"Çetin Tekindor,Fikret Kuskan,Hümeyra,See full cast & crew","My Father and My Son ,            ",Çagan Irmak,2005
Martin McDonagh,,"Frances McDormand,Woody Harrelson,Sam Rockwell,See full cast & crew","Three Billboards Outside Ebbing, Missouri ,            ",Martin McDonagh,2017
Paul Thomas Anderson,,"Daniel Day-Lewis,Paul Dano,Ciarán Hinds,See full cast & crew","There Will Be Blood ,            ","Paul Thomas Anderson,Upton Sinclair",2007
Martin Scorsese,,"Robert De Niro,Cathy Moriarty,Joe Pesci,See full cast & crew","Raging Bull ,            ","Jake LaMotta,Joseph Carter,3 more credits",1980
Stanley Kramer,,"Spencer Tracy,Burt Lancaster,Richard Widmark,See full cast & crew","Judgment at Nuremberg ,            ","Abby Mann,Abby Mann",1961
Guy Ritchie,,"Jason Flemyng,Dexter Fletcher,Nick Moran,See full cast & crew","Lock, Stock and Two Smoking Barrels ,            ",Guy Ritchie,1998
John Huston,,"Humphrey Bogart,Walter Huston,Tim Holt,See full cast & crew","The Treasure of the Sierra Madre ,            ","John Huston,B. Traven",1948
Hayao Miyazaki,,"Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto,See full cast & crew","My Neighbor Totoro ,            ",Hayao Miyazaki,1988
Martin Scorsese,,"Leonardo DiCaprio,Jonah Hill,Margot Robbie,See full cast & crew","The Wolf of Wall Street ,            ","Terence Winter,Jordan Belfort",2013
Martin Scorsese,,"Robert De Niro,Sharon Stone,Joe Pesci,See full cast & crew","Casino ,            ","Nicholas Pileggi,Nicholas Pileggi,1 more credit",1995
Juan José Campanella,,"Ricardo Darín,Soledad Villamil,Pablo Rago,See full cast & crew","The Secret in Their Eyes ,            ","Eduardo Sacheri,Juan José Campanella,1 more credit",2009
Guillermo del Toro,,"Ivana Baquero,Ariadna Gil,Sergi López,See full cast & crew","Pan's Labyrinth ,            ",Guillermo del Toro,2006
Joseph L. Mankiewicz,,"Bette Davis,Anne Baxter,George Sanders,See full cast & crew","All About Eve ,            ",Joseph L. Mankiewicz,1950
Hayao Miyazaki,,"Chieko Baishô,Takuya Kimura,Tatsuya Gashûin,See full cast & crew","Howl's Moving Castle ,            ","Hayao Miyazaki,Diana Wynne Jones",2004
Ron Howard,,"Russell Crowe,Ed Harris,Jennifer Connelly,See full cast & crew","A Beautiful Mind ,            ","Akiva Goldsman,Sylvia Nasar",2001
John Sturges,,"Steve McQueen,James Garner,Richard Attenborough,See full cast & crew","The Great Escape ,            ","Paul Brickhill,James Clavell,1 more credit",1963
Oliver Hirschbiegel,,"Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes,See full cast & crew","Downfall ,            ","Bernd Eichinger,Joachim Fest,2 more credits",2004
Akira Kurosawa,,"Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,See full cast & crew","Ran ,            ","Akira Kurosawa,Hideo Oguni,2 more credits",1985
Peter Farrelly,,"Viggo Mortensen,Mahershala Ali,Linda Cardellini,See full cast & crew","Green Book ,            ","Nick Vallelonga,Brian Hayes Currie,1 more credit",2018
Clint Eastwood,,"Clint Eastwood,Gene Hackman,Morgan Freeman,See full cast & crew","Unforgiven ,            ",David Webb Peoples,1992
Billy Wilder,,"Marilyn Monroe,Tony Curtis,Jack Lemmon,See full cast & crew","Some Like It Hot ,            ","Billy Wilder,I.A.L. Diamond,2 more credits",1959
Majid Majidi,,"Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi,See full cast & crew","Children of Heaven ,            ",Majid Majidi,1997
Elem Klimov,,"Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius,See full cast & crew","Come and See ,            ","Ales Adamovich,Ales Adamovich,1 more credit",1985
Akira Kurosawa,,"Toshirô Mifune,Machiko Kyô,Masayuki Mori,See full cast & crew","Rashomon ,            ","Ryûnosuke Akutagawa,Akira Kurosawa,1 more credit",1950
Christopher Nolan,,"Christian Bale,Michael Caine,Ken Watanabe,See full cast & crew","Batman Begins ,            ","Bob Kane,David S. Goyer,2 more credits",2005
John McTiernan,,"Bruce Willis,Alan Rickman,Bonnie Bedelia,See full cast & crew","Die Hard ,            ","Roderick Thorp,Jeb Stuart,1 more credit",1988
Akira Kurosawa,,"Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai,See full cast & crew","Yojimbo ,            ","Akira Kurosawa,Akira Kurosawa,1 more credit",1961
Michael Mann,,"Al Pacino,Robert De Niro,Val Kilmer,See full cast & crew","Heat ,            ",Michael Mann,1995
"Terry Gilliam,Terry Jones",,"Graham Chapman,John Cleese,Eric Idle,See full cast & crew","Monty Python and the Holy Grail ,            ","Graham Chapman,John Cleese,4 more credits",1975
Curtis Hanson,,"Kevin Spacey,Russell Crowe,Guy Pearce,See full cast & crew","L.A. Confidential ,            ","James Ellroy,Brian Helgeland,1 more credit",1997
"Pete Docter,Bob Peterson",,"Edward Asner,Jordan Nagai,John Ratzenberger,See full cast & crew","Up ,            ","Pete Docter,Bob Peterson,3 more credits",2009
Denis Villeneuve,,"Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,See full cast & crew","Incendies ,            ","Denis Villeneuve,Wajdi Mouawad,2 more credits",2010
Steven Spielberg,,"Harrison Ford,Sean Connery,Alison Doody,See full cast & crew","Indiana Jones and the Last Crusade ,            ","Jeffrey Boam,George Lucas,3 more credits",1989
Billy Wilder,,"Fred MacMurray,Barbara Stanwyck,Edward G. Robinson,See full cast & crew","Double Indemnity ,            ","Billy Wilder,Raymond Chandler,1 more credit",1944
Robert Mulligan,,"Gregory Peck,John Megna,Frank Overton,See full cast & crew","To Kill a Mockingbird ,            ","Harper Lee,Horton Foote",1962
Billy Wilder,,"Jack Lemmon,Shirley MacLaine,Fred MacMurray,See full cast & crew","The Apartment ,            ","Billy Wilder,I.A.L. Diamond",1960
Sergio Leone,,"Clint Eastwood,Lee Van Cleef,Gian Maria Volontè,See full cast & crew","For a Few Dollars More ,            ","Sergio Leone,Fulvio Morsella,2 more credits",1965
George Roy Hill,,"Paul Newman,Robert Redford,Robert Shaw,See full cast & crew","The Sting ,            ",David S. Ward,1973
Akira Kurosawa,,"Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori,See full cast & crew","Ikiru ,            ","Akira Kurosawa,Shinobu Hashimoto,1 more credit",1952
Fritz Lang,,"Brigitte Helm,Alfred Abel,Gustav Fröhlich,See full cast & crew","Metropolis ,            ","Thea von Harbou,Thea von Harbou",1927
Asghar Farhadi,,"Payman Maadi,Leila Hatami,Sareh Bayat,See full cast & crew","A Separation ,            ",Asghar Farhadi,2011
Lee Unkrich,,"Tom Hanks,Tim Allen,Joan Cusack,See full cast & crew","Toy Story 3 ,            ","John Lasseter,Andrew Stanton,2 more credits",2010
David Lean,,"Peter O'Toole,Alec Guinness,Anthony Quinn,See full cast & crew","Lawrence of Arabia ,            ","T.E. Lawrence,Robert Bolt,1 more credit",1962
