director,popularity,stars,title,writers,year
Stanley Kubrick,,"Peter Sellers,George C. Scott,Sterling Hayden,See full cast & crew","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,            ","Stanley Kubrick,Terry Southern,2 more credits",1964
Chan-wook Park,,"Min-sik Choi,Ji-Tae Yoo,Hye-jeong Kang,See full cast & crew","Oldboy ,            ","Garon Tsuchiya,Nobuaki Minegishi,4 more credits",2003
Billy Wilder,,"William Holden,Gloria Swanson,Erich von Stroheim,See full cast & crew","Sunset Blvd. ,            ","Charles Brackett,Billy Wilder,1 more credit",1950
Hayao Miyazaki,,"Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,See full cast & crew","Princess Mononoke ,            ","Hayao Miyazaki,Neil Gaiman",1997
"Anthony Russo,Joe Russo",,"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,See full cast & crew","Avengers: Infinity War ,            ","Christopher Markus,Stephen McFeely,14 more credits",2018
"Bob Persichetti,Peter Ramsey,1 more credit",,"Shameik Moore,Jake Johnson,Hailee Steinfeld,See full cast & crew","Spider-Man: Into the Spider-Verse ,            ","Phil Lord,Rodney Rothman,1 more credit",2018
Stanley Kubrick,,"Kirk Douglas,Ralph Meeker,Adolphe Menjou,See full cast & crew","Paths of Glory ,            ","Stanley Kubrick,Calder Willingham,2 more credits",1957
Andrew Stanton,,"Ben Burtt,Elissa Knight,Jeff Garlin,See full cast & crew","WALL·E ,            ","Andrew Stanton,Pete Docter,2 more credits",2008
Stanley Kubrick,,"Jack Nicholson,Shelley Duvall,Danny Lloyd,See full cast & crew","The Shining ,            ","Stephen King,Stanley Kubrick,1 more credit",1980
Florian Henckel von Donnersmarck,,"Ulrich Mühe,Martina Gedeck,Sebastian Koch,See full cast & crew","The Lives of Others ,            ",Florian Henckel von Donnersmarck,2006
Quentin Tarantino,,"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,See full cast & crew","Django Unchained ,            ",Quentin Tarantino,2012
Christopher Nolan,,"Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,See full cast & crew","Memento ,            ","Christopher Nolan,Jonathan Nolan",2000
Charles Chaplin,,"Charles Chaplin,Paulette Goddard,Jack Oakie,See full cast & crew","The Great Dictator ,            ",Charles Chaplin,1940
Francis Ford Coppola,,"Martin Sheen,Marlon Brando,Robert Duvall,See full cast & crew","Apocalypse Now ,            ","John Milius,Francis Ford Coppola,1 more credit",1979
Steven Spielberg,,"Harrison Ford,Karen Allen,Paul Freeman,See full cast & crew","Indiana Jones and the Raiders of the Lost Ark ,            ","Lawrence Kasdan,George Lucas,1 more credit",1981
Giuseppe Tornatore,,"Philippe Noiret,Enzo Cannavale,Antonella Attili,See full cast & crew","Cinema Paradiso ,            ","Giuseppe Tornatore,Giuseppe Tornatore,2 more credits",1988
Todd Phillips,,"Joaquin Phoenix,Robert De Niro,Zazie Beetz,See full cast & crew","Joker ,            ","Todd Phillips,Scott Silver,3 more credits",2019
Ridley Scott,,"Sigourney Weaver,Tom Skerritt,John Hurt,See full cast & crew","Alien ,            ","Dan O'Bannon,Dan O'Bannon,1 more credit",1979
Alfred Hitchcock,,"James Stewart,Grace Kelly,Wendell Corey,See full cast & crew","Rear Window ,            ","John Michael Hayes,Cornell Woolrich",1954
Christopher Nolan,,"Christian Bale,Hugh Jackman,Scarlett Johansson,See full cast & crew","The Prestige ,            ","Jonathan Nolan,Christopher Nolan,1 more credit",2006
Damien Chazelle,,"Miles Teller,J.K. Simmons,Melissa Benoist,See full cast & crew","Whiplash ,            ",Damien Chazelle,2014
Isao Takahata,,"Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi,See full cast & crew","Grave of the Fireflies ,            ","Akiyuki Nosaka,Isao Takahata",1988
Sergio Leone,,"Henry Fonda,Charles Bronson,Claudia Cardinale,See full cast & crew","Once Upon a Time in the West ,            ","Sergio Donati,Sergio Leone,3 more credits",1968
Michael Curtiz,,"Humphrey Bogart,Ingrid Bergman,Paul Henreid,See full cast & crew","Casablanca ,            ","Julius J. Epstein,Philip G. Epstein,3 more credits",1942
Charles Chaplin,,"Charles Chaplin,Virginia Cherrill,Florence Lee,See full cast & crew","City Lights ,            ",Charles Chaplin,1931
"Olivier Nakache,Éric Toledano",,"François Cluzet,Omar Sy,Anne Le Ny,See full cast & crew","The Intouchables ,            ","Olivier Nakache,Philippe Pozzo di Borgo,1 more credit",2011
Ridley Scott,,"Russell Crowe,Joaquin Phoenix,Connie Nielsen,See full cast & crew","Gladiator ,            ","David Franzoni,David Franzoni,2 more credits",2000
James Cameron,,"Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,See full cast & crew","Terminator 2: Judgment Day ,            ","James Cameron,William Wisher",1991
Robert Zemeckis,,"Michael J. Fox,Christopher Lloyd,Lea Thompson,See full cast & crew","Back to the Future ,            ","Robert Zemeckis,Bob Gale",1985
Roman Polanski,,"Adrien Brody,Thomas Kretschmann,Frank Finlay,See full cast & crew","The Pianist ,            ","Ronald Harwood,Wladyslaw Szpilman",2002
Charles Chaplin,,"Charles Chaplin,Paulette Goddard,Henry Bergman,See full cast & crew","Modern Times ,            ",Charles Chaplin,1936
Alfred Hitchcock,,"Anthony Perkins,Janet Leigh,Vera Miles,See full cast & crew","Psycho ,            ","Joseph Stefano,Robert Bloch",1960
Tony Kaye,,"Edward Norton,Edward Furlong,Beverly D'Angelo,See full cast & crew","American History X ,            ",David McKenna,1998
Martin Scorsese,,"Leonardo DiCaprio,Matt Damon,Jack Nicholson,See full cast & crew","The Departed ,            ","William Monahan,Alan Mak,1 more credit",2006
Masaki Kobayashi,,"Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,See full cast & crew","Harakiri ,            ","Yasuhiko Takiguchi,Shinobu Hashimoto",1962
Bryan Singer,,"Kevin Spacey,Gabriel Byrne,Chazz Palminteri,See full cast & crew","The Usual Suspects ,            ",Christopher McQuarrie,1995
Luc Besson,,"Jean Reno,Gary Oldman,Natalie Portman,See full cast & crew","Léon: The Professional ,            ",Luc Besson,1994
"Roger Allers,Rob Minkoff",,"Matthew Broderick,Jeremy Irons,James Earl Jones,See full cast & crew","The Lion King ,            ","Irene Mecchi,Jonathan Roberts,27 more credits",1994
George Lucas,,"Mark Hamill,Harrison Ford,Carrie Fisher,See full cast & crew","Star Wars: Episode IV - A New Hope ,            ",George Lucas,1977
Steven Spielberg,,"Tom Hanks,Matt Damon,Tom Sizemore,See full cast & crew","Saving Private Ryan ,            ",Robert Rodat,1998
Christopher Nolan,,"Matthew McConaughey,Anne Hathaway,Jessica Chastain,See full cast & crew","Interstellar ,            ","Jonathan Nolan,Christopher Nolan",2014
